Date,Open,High,Low,Close,Volume,Adj Close
,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS,GLAXO.NS
2015-01-01,1589.5,1620.0,1578.050048828125,1584.949951171875,15520,1257.1165771484375
2015-01-02,1570.5,1594.0,1555.5,1565.949951171875,14592,1242.046630859375
2015-01-05,1567.5,1582.5,1558.5,1568.074951171875,9752,1243.73193359375
2015-01-06,1567.5,1587.4749755859375,1540.0,1575.550048828125,27198,1249.660888671875
2015-01-07,1573.9749755859375,1600.0,1572.675048828125,1590.050048828125,52120,1261.1617431640625
2015-01-08,1581.300048828125,1624.949951171875,1581.25,1603.75,28616,1272.02783203125
2015-01-09,1609.925048828125,1620.0,1578.0,1596.324951171875,19318,1266.1387939453125
2015-01-12,1601.449951171875,1620.0,1593.824951171875,1596.4000244140625,20318,1266.198486328125
2015-01-13,1597.5,1612.5,1581.5,1591.9749755859375,9590,1262.6884765625
2015-01-14,1600.0,1604.925048828125,1587.550048828125,1596.550048828125,56246,1266.3172607421875
2015-01-15,1597.0,1617.5,1575.0,1587.574951171875,26494,1259.198486328125
2015-01-16,1588.9749755859375,1611.9749755859375,1576.050048828125,1602.550048828125,48454,1271.0760498046875
2015-01-19,1612.5,1613.5,1582.550048828125,1586.9000244140625,12626,1258.663330078125
2015-01-20,1580.0,1592.5,1580.0,1584.4749755859375,74612,1256.73974609375
2015-01-21,1576.5250244140625,1584.9749755859375,1574.449951171875,1579.5250244140625,8962,1252.8135986328125
2015-01-22,1575.5,1595.0,1563.0,1577.0,11184,1250.8109130859375
2015-01-23,1576.0999755859375,1762.5,1574.699951171875,1671.5250244140625,261916,1325.784423828125
2015-01-27,1687.5,1775.0,1675.3499755859375,1722.75,83518,1366.4139404296875
2015-01-28,1722.75,1734.9749755859375,1688.0,1694.8499755859375,17386,1344.284423828125
2015-01-29,1685.0250244140625,1763.324951171875,1685.0250244140625,1722.2750244140625,43614,1366.037109375
2015-01-30,1722.2750244140625,1741.5,1688.0,1695.0999755859375,23908,1344.4827880859375
2015-02-02,1695.550048828125,1722.5,1685.5,1691.5999755859375,23284,1341.70703125
2015-02-03,1692.5,1712.5,1660.0,1668.699951171875,19410,1323.543701171875
2015-02-04,1671.0250244140625,1706.550048828125,1670.550048828125,1674.7249755859375,18874,1328.322265625
2015-02-05,1691.949951171875,1694.0,1640.0,1650.7750244140625,15160,1309.326416015625
2015-02-06,1660.5,1660.5,1627.5250244140625,1647.9749755859375,10502,1307.105224609375
2015-02-09,1650.0,1662.449951171875,1619.9749755859375,1643.9749755859375,15278,1303.9326171875
2015-02-10,1650.7249755859375,1699.5,1610.5,1661.2750244140625,22958,1317.6544189453125
2015-02-11,1669.0999755859375,1669.125,1639.375,1647.7750244140625,12918,1306.94677734375
2015-02-12,1650.5,1679.949951171875,1582.1500244140625,1626.699951171875,60326,1290.23095703125
2015-02-13,1625.0,1659.0,1621.5,1633.199951171875,16184,1295.386474609375
2015-02-16,1625.625,1646.0,1614.300048828125,1623.800048828125,11684,1287.9307861328125
2015-02-18,1638.0,1642.0,1612.5,1622.5250244140625,11850,1286.9195556640625
2015-02-19,1612.75,1633.5,1595.699951171875,1610.6500244140625,16778,1277.5008544921875
2015-02-20,1610.6500244140625,1618.0,1580.5,1592.4000244140625,20528,1263.025634765625
2015-02-23,1576.0,1600.0,1555.5,1565.5250244140625,20496,1241.70947265625
2015-02-24,1576.0,1576.0250244140625,1537.5,1559.800048828125,20834,1237.168701171875
2015-02-25,1553.5,1578.675048828125,1528.0250244140625,1552.550048828125,35660,1231.418212890625
2015-02-26,1549.5,1563.5,1532.550048828125,1549.449951171875,20798,1228.9593505859375
2015-02-27,1550.5,1563.699951171875,1539.5,1549.9749755859375,18296,1229.375732421875
2015-03-02,1565.4749755859375,1574.949951171875,1530.0,1545.199951171875,21846,1225.58837890625
2015-03-03,1536.0250244140625,1562.5,1535.574951171875,1555.449951171875,22644,1233.7183837890625
2015-03-04,1570.0,1599.949951171875,1540.550048828125,1569.800048828125,20626,1245.100341796875
2015-03-05,1571.0,1659.5,1555.0,1636.625,75674,1298.1031494140625
2015-03-09,1637.5,1699.800048828125,1613.0,1657.449951171875,51132,1314.62060546875
2015-03-10,1661.9749755859375,1699.0,1615.5,1671.949951171875,32132,1326.1212158203125
2015-03-11,1667.5,1690.0,1650.5,1679.675048828125,100932,1332.2484130859375
2015-03-12,1680.0,1680.9749755859375,1640.0250244140625,1651.0250244140625,19366,1309.5245361328125
2015-03-13,1657.9000244140625,1681.5,1645.375,1652.375,34750,1310.59521484375
2015-03-16,1650.0,1666.5,1615.0,1643.199951171875,57788,1303.31787109375
2015-03-17,1649.5,1655.0,1620.0,1630.800048828125,22494,1293.4830322265625
2015-03-18,1630.5,1664.625,1564.800048828125,1639.050048828125,41988,1300.026611328125
2015-03-19,1630.0,1662.5,1625.0,1632.074951171875,28614,1294.4940185546875
2015-03-20,1636.074951171875,1654.0,1591.199951171875,1627.5250244140625,42262,1290.8851318359375
2015-03-23,1643.199951171875,1651.5,1602.800048828125,1641.574951171875,21080,1302.029052734375
2015-03-24,1624.9749755859375,1652.5,1607.0999755859375,1626.375,34112,1289.9732666015625
2015-03-25,1635.0,1650.0,1626.0999755859375,1641.925048828125,25850,1302.3067626953125
2015-03-26,1637.5,1649.5,1615.050048828125,1631.375,16096,1293.9390869140625
2015-03-27,1650.0,1670.0,1620.0,1637.074951171875,32434,1298.4598388671875
2015-03-30,1650.0,1674.4749755859375,1634.9749755859375,1642.5999755859375,34302,1302.8421630859375
2015-03-31,1633.2249755859375,1749.0,1632.675048828125,1712.824951171875,109228,1358.5416259765625
2015-04-01,1725.0,1725.0,1656.25,1676.625,45752,1329.8294677734375
2015-04-06,1670.0,1694.5,1665.5,1680.050048828125,29930,1332.5458984375
2015-04-07,1693.0,1709.7750244140625,1675.5,1679.449951171875,35386,1332.070068359375
2015-04-08,1687.5,1700.0,1669.5,1679.75,38910,1332.3079833984375
2015-04-09,1682.5,1693.0,1663.0,1670.425048828125,17658,1324.9119873046875
2015-04-10,1674.4749755859375,1692.4749755859375,1632.75,1657.1500244140625,25126,1314.382568359375
2015-04-13,1657.5,1685.949951171875,1643.324951171875,1674.875,19636,1328.4412841796875
2015-04-15,1687.5,1695.0,1660.2750244140625,1671.4749755859375,16938,1325.7447509765625
2015-04-16,1671.9749755859375,1675.5250244140625,1650.0,1656.375,18262,1313.76806640625
2015-04-17,1652.925048828125,1659.074951171875,1625.0,1636.7249755859375,21176,1298.1824951171875
2015-04-20,1640.800048828125,1640.800048828125,1590.0,1599.199951171875,22350,1268.4190673828125
2015-04-21,1604.9749755859375,1614.4749755859375,1587.5,1595.25,24454,1265.2861328125
2015-04-22,1603.125,1634.925048828125,1578.199951171875,1599.925048828125,62086,1268.9940185546875
2015-04-23,1612.5,1613.25,1587.300048828125,1598.5999755859375,9614,1267.9432373046875
2015-04-24,1604.5,1607.9749755859375,1510.0,1531.324951171875,48372,1214.58349609375
2015-04-27,1553.574951171875,1554.0,1480.5,1498.0250244140625,20180,1188.171142578125
2015-04-28,1481.175048828125,1542.5,1481.175048828125,1519.425048828125,28604,1205.14501953125
2015-04-29,1500.5,1582.5,1500.5,1570.0250244140625,20406,1245.278564453125
2015-04-30,1575.0,1689.8499755859375,1535.050048828125,1591.699951171875,38196,1262.47021484375
2015-05-04,1602.5,1662.5,1580.0,1587.625,25872,1259.2384033203125
2015-05-05,1587.5,1624.949951171875,1580.324951171875,1617.75,21086,1283.13232421875
2015-05-06,1617.5,1634.5,1575.0,1599.050048828125,16748,1268.30029296875
2015-05-07,1584.0,1610.0,1551.25,1586.625,19132,1258.4451904296875
2015-05-08,1582.375,1600.0,1577.5,1592.75,8610,1263.30322265625
2015-05-11,1602.5,1616.0,1578.550048828125,1593.7249755859375,30488,1264.07666015625
2015-05-12,1600.5,1614.0,1581.0250244140625,1596.5,12612,1266.2777099609375
2015-05-13,1597.25,1612.4749755859375,1585.3499755859375,1597.699951171875,12216,1267.229248046875
2015-05-14,1593.300048828125,1624.0,1584.9749755859375,1612.699951171875,8538,1279.1265869140625
2015-05-15,1615.0,1629.5,1596.0,1620.0999755859375,14296,1284.995849609375
2015-05-18,1617.9749755859375,1670.0,1605.5,1639.7249755859375,43044,1300.561767578125
2015-05-19,1621.675048828125,1642.5,1612.5,1625.699951171875,11810,1289.437744140625
2015-05-20,1637.0,1637.0,1600.0,1604.75,14990,1272.8212890625
2015-05-21,1604.9749755859375,1612.5,1590.050048828125,1605.375,6840,1273.3170166015625
2015-05-22,1610.0,1612.8499755859375,1590.5,1596.074951171875,9272,1265.9405517578125
2015-05-25,1596.074951171875,1608.0250244140625,1590.0,1598.875,6978,1268.161376953125
2015-05-26,1591.074951171875,1605.0,1577.5,1595.75,8948,1265.6826171875
2015-05-27,1578.0,1599.949951171875,1562.5,1583.800048828125,15976,1256.20458984375
2015-05-28,1588.4749755859375,1615.0,1572.5,1600.425048828125,17342,1269.3905029296875
2015-05-29,1597.5,1620.0,1592.5,1614.050048828125,16128,1280.197265625
2015-06-01,1598.0,1632.5,1565.324951171875,1623.625,21664,1287.7919921875
2015-06-02,1627.0,1654.6500244140625,1612.050048828125,1648.875,43940,1307.8193359375
2015-06-03,1650.0,1650.425048828125,1574.0,1609.300048828125,33050,1276.429931640625
2015-06-04,1606.324951171875,1624.5999755859375,1578.074951171875,1591.949951171875,26190,1262.6685791015625
2015-06-05,1583.074951171875,1619.5,1583.074951171875,1599.550048828125,10986,1268.6966552734375
2015-06-08,1576.5,1594.449951171875,1575.5,1590.199951171875,10884,1261.280517578125
2015-06-09,1572.5,1619.5,1562.5,1597.2249755859375,19640,1266.8524169921875
2015-06-10,1600.574951171875,1625.0,1595.0250244140625,1612.0,12776,1278.5714111328125
2015-06-11,1595.5,1620.2750244140625,1595.5,1604.5,10328,1272.622802734375
2015-06-12,1577.5,1640.5,1577.5,1616.675048828125,13048,1282.2796630859375
2015-06-15,1620.5250244140625,1636.5,1616.0250244140625,1629.300048828125,8358,1292.2930908203125
2015-06-16,1632.5,1644.5999755859375,1620.0,1639.625,7388,1300.4822998046875
2015-06-17,1640.0,1681.449951171875,1634.0250244140625,1662.699951171875,36182,1318.7847900390625
2015-06-18,1674.5,1674.5,1647.4749755859375,1656.7750244140625,14282,1314.0853271484375
2015-06-19,1656.699951171875,1665.0,1642.550048828125,1648.449951171875,27634,1307.482177734375
2015-06-22,1646.0999755859375,1659.4749755859375,1632.5,1638.6500244140625,16486,1299.709228515625
2015-06-23,1649.5,1652.925048828125,1624.425048828125,1634.7750244140625,18512,1296.6357421875
2015-06-24,1637.574951171875,1647.875,1622.5,1630.574951171875,18128,1293.3043212890625
2015-06-25,1630.925048828125,1637.0,1622.5,1631.699951171875,8902,1294.1966552734375
2015-06-26,1630.9749755859375,1649.949951171875,1608.300048828125,1643.800048828125,13504,1303.7940673828125
2015-06-29,1618.0,1649.5,1602.0,1643.550048828125,14022,1303.595703125
2015-06-30,1627.5250244140625,1700.0,1627.5250244140625,1674.050048828125,82206,1327.787109375
2015-07-01,1680.0,1680.0,1652.0,1661.7249755859375,18700,1318.0113525390625
2015-07-02,1661.7249755859375,1680.0,1654.9749755859375,1676.0,14288,1329.3336181640625
2015-07-03,1676.0,1680.0,1656.824951171875,1673.699951171875,11792,1327.5093994140625
2015-07-06,1650.0,1678.5,1650.0,1676.7750244140625,14468,1329.9483642578125
2015-07-07,1679.875,1717.0,1667.5,1703.175048828125,22904,1350.8878173828125
2015-07-08,1687.5,1782.5,1676.0,1730.4749755859375,57338,1372.540771484375
2015-07-09,1730.4749755859375,1762.5,1700.5,1708.5,29306,1355.111328125
2015-07-10,1713.5250244140625,1729.4749755859375,1690.0,1701.824951171875,14786,1349.816650390625
2015-07-13,1716.5,1716.5,1692.5,1705.125,12008,1352.434326171875
