Date,Open,High,Low,Close,Volume,Adj Close
,HONAUT.NS,HONAUT.NS,HONAUT.NS,HONAUT.NS,HONAUT.NS,HONAUT.NS
2015-01-01,6940.0498046875,6950.0,6834.0498046875,6850.7001953125,495,6710.9677734375
2015-01-02,6840.0,6969.9501953125,6830.0,6843.0,816,6703.423828125
2015-01-05,6850.0,6912.0,6850.0,6892.4501953125,345,6751.86669921875
2015-01-06,6866.0,6875.0,6750.0,6825.75,395,6686.5263671875
2015-01-07,6799.9501953125,6839.0,6701.4501953125,6786.2998046875,288,6647.880859375
2015-01-08,6849.9501953125,6854.25,6750.0498046875,6806.0498046875,431,6667.2275390625
2015-01-09,6899.9501953125,6899.9501953125,6720.0,6783.7001953125,646,6645.33349609375
2015-01-12,6755.14990234375,6850.0,6755.10009765625,6826.10009765625,298,6686.869140625
2015-01-13,6877.9501953125,6935.0,6825.0498046875,6905.4501953125,904,6764.60009765625
2015-01-14,6947.9501953125,7099.0,6898.25,6995.89990234375,945,6853.20556640625
2015-01-15,7047.89990234375,7050.0,6965.0,6994.14990234375,484,6851.49072265625
2015-01-16,7020.0,7075.0,6902.0,7052.2001953125,235,6908.35693359375
2015-01-19,7123.25,7200.0498046875,7101.0498046875,7184.85009765625,732,7038.3017578125
2015-01-20,7200.0,7200.0,7000.10009765625,7099.5,895,6954.6923828125
2015-01-21,7025.39990234375,7164.9501953125,7022.9501953125,7096.89990234375,480,6952.1455078125
2015-01-22,7115.0,7416.5,6529.10009765625,7202.4501953125,1079,7055.54248046875
2015-01-23,7315.0,7399.0,7070.10009765625,7258.60009765625,986,7110.546875
2015-01-27,7400.0,7480.0,7250.0498046875,7370.0,2124,7219.6748046875
2015-01-28,7370.0,7370.0,7253.7998046875,7337.10009765625,609,7187.4453125
2015-01-29,7350.0,7399.89990234375,7311.10009765625,7355.89990234375,328,7205.86181640625
2015-01-30,7300.0,7384.0,7260.2001953125,7356.5,327,7206.45068359375
2015-02-02,7390.7998046875,7400.0,7301.2998046875,7375.0,397,7224.5732421875
2015-02-03,7300.0,7400.0,7300.0,7379.60009765625,310,7229.07861328125
2015-02-04,7256.0498046875,7325.0,7200.0,7278.4501953125,197,7129.99267578125
2015-02-05,7255.0498046875,7314.89990234375,7200.0,7207.35009765625,283,7060.3427734375
2015-02-06,7249.14990234375,7249.2001953125,6802.10009765625,7115.14990234375,1756,6970.0234375
2015-02-09,7087.75,7400.0,6680.0,7179.25,2243,7032.81591796875
2015-02-10,7160.0,7679.0,7114.0,7431.64990234375,2546,7280.06787109375
2015-02-11,7490.0,8748.7998046875,7210.0,8466.2998046875,13008,8293.61328125
2015-02-12,8549.0498046875,9244.900390625,8400.150390625,8992.9501953125,8467,8809.521484375
2015-02-13,9030.150390625,9500.0,9030.150390625,9378.9501953125,5996,9187.650390625
2015-02-16,9385.0,9480.0,9051.0,9088.7001953125,3051,8903.3193359375
2015-02-18,9175.0,9175.0,8851.0,8982.7001953125,2279,8799.4814453125
2015-02-19,9063.900390625,9171.0,8961.0,9012.099609375,994,8828.283203125
2015-02-20,9138.849609375,9138.849609375,8850.0,8890.9501953125,2086,8709.6025390625
2015-02-23,8901.0,8943.9501953125,8701.0,8873.099609375,991,8692.1171875
2015-02-24,8929.9501953125,9000.0,8800.0,8906.849609375,324,8725.177734375
2015-02-25,8948.9501953125,9495.0,8920.0,9004.5,3272,8820.8349609375
2015-02-26,9048.0,9070.0,8820.099609375,8860.2001953125,567,8679.478515625
2015-02-27,8860.099609375,9035.0,8854.9501953125,8964.0,1893,8781.1640625
2015-03-02,8860.0498046875,9250.0,8860.0,9153.75,1054,8967.041015625
2015-03-03,9200.0498046875,9445.0,9001.0,9190.849609375,3534,9003.384765625
2015-03-04,9395.2998046875,9490.0,9144.0,9181.9501953125,1515,8994.6669921875
2015-03-05,9350.0,9350.150390625,8870.0,9322.2998046875,476,9132.154296875
2015-03-09,9251.5498046875,9498.0,9181.7001953125,9399.25,804,9207.53515625
2015-03-10,9350.0,9447.9501953125,8955.0498046875,8995.75,1817,8812.265625
2015-03-11,9070.0,9080.0,8916.0,8977.900390625,1435,8794.779296875
2015-03-12,8999.849609375,9095.0,8889.0,8926.2998046875,885,8744.232421875
2015-03-13,9092.849609375,9093.0498046875,8600.0,8914.7998046875,1447,8732.9658203125
2015-03-16,8806.0,8998.9501953125,8650.0,8861.5,648,8680.7529296875
2015-03-17,8990.0498046875,8990.0498046875,8715.0,8878.9501953125,630,8697.845703125
2015-03-18,9000.0498046875,9051.2998046875,8730.0,8831.599609375,587,8651.462890625
2015-03-19,9050.0,9050.0,8655.150390625,8835.7998046875,889,8655.576171875
2015-03-20,8925.0,8925.0,8752.150390625,8846.849609375,264,8666.4013671875
2015-03-23,8824.9501953125,8984.9501953125,8370.0,8414.9501953125,3823,8243.3115234375
2015-03-24,8371.349609375,8570.0,8200.0,8510.2001953125,678,8336.6181640625
2015-03-25,8549.9501953125,8549.9501953125,8220.0,8431.4501953125,615,8259.4755859375
2015-03-26,8305.0,8589.0,8305.0,8492.7998046875,285,8319.572265625
2015-03-27,8326.0,8530.0,8260.0,8308.5498046875,720,8139.07958984375
2015-03-30,8371.650390625,8634.4501953125,8311.0498046875,8572.599609375,867,8397.7431640625
2015-03-31,8405.0498046875,8700.0,8405.0498046875,8513.0498046875,2387,8339.4111328125
2015-04-01,8493.400390625,8610.0,8493.400390625,8562.349609375,427,8387.703125
2015-04-06,8563.0,8690.0,8471.0498046875,8596.150390625,1694,8420.81640625
2015-04-07,8639.849609375,8684.9501953125,8401.0,8466.400390625,570,8293.712890625
2015-04-08,8433.25,8600.0,8433.25,8549.849609375,1595,8375.4599609375
2015-04-09,8660.0,8920.0,8558.2998046875,8601.5,1035,8426.056640625
2015-04-10,8750.0,8750.0,8501.0,8549.099609375,663,8374.7265625
2015-04-13,8600.0498046875,8769.349609375,8505.099609375,8548.349609375,2052,8373.990234375
2015-04-15,8600.0,8648.9501953125,8458.0,8513.650390625,331,8339.9970703125
2015-04-16,8500.0498046875,8550.0,8451.0,8543.75,724,8369.484375
2015-04-17,8540.9501953125,8550.0,8355.0,8521.5498046875,8668,8347.736328125
2015-04-20,8600.0498046875,8600.0498046875,7926.0498046875,8026.7001953125,2465,7862.97998046875
2015-04-21,8050.0,8079.9501953125,7682.35009765625,7730.9501953125,3217,7573.26220703125
2015-04-22,7748.75,7900.0498046875,7650.0,7702.2998046875,2715,7545.19677734375
2015-04-23,7745.0,7900.0498046875,7620.0498046875,7644.5498046875,410,7488.625
2015-04-24,7774.0,7774.0,7130.0,7489.5498046875,2302,7336.78564453125
2015-04-27,7400.0,7750.0,7012.0,7466.10009765625,1581,7313.814453125
2015-04-28,7355.0498046875,7588.0,7250.0,7376.10009765625,2622,7225.65087890625
2015-04-29,7311.0498046875,7658.75,7311.0498046875,7512.5498046875,955,7359.3173828125
2015-04-30,7524.75,7738.0,7350.0,7640.7001953125,1074,7484.853515625
2015-05-04,7788.35009765625,7788.35009765625,7601.0498046875,7684.5498046875,692,7527.8095703125
2015-05-05,7750.0,7845.0,7707.60009765625,7787.35009765625,367,7628.51220703125
2015-05-06,7740.0498046875,7740.0498046875,7430.0,7474.4501953125,1553,7321.9951171875
2015-05-07,7474.4501953125,7630.0,6999.9501953125,7221.2998046875,2739,7074.00830078125
2015-05-08,7205.5498046875,7600.0,7205.5498046875,7553.85009765625,1177,7399.77490234375
2015-05-11,7689.9501953125,7928.0,7581.75,7864.60009765625,849,7704.1865234375
2015-05-12,7900.0,7969.9501953125,7755.10009765625,7822.0,1322,7662.45654296875
2015-05-13,7750.0498046875,7974.75,7750.0498046875,7869.25,747,7708.7421875
2015-05-14,7850.0,7875.0,7635.0,7811.7998046875,1755,7652.46337890625
2015-05-15,7779.9501953125,7848.9501953125,7662.0,7795.5498046875,1399,7636.544921875
2015-05-18,7723.75,7861.0498046875,7675.0,7736.14990234375,1239,7578.357421875
2015-05-19,7656.0,7692.0,7521.0,7575.5,1093,7420.9833984375
2015-05-20,7576.2998046875,7688.0,7425.0,7466.35009765625,1644,7314.0595703125
2015-05-21,7469.9501953125,7780.0,7431.0,7649.85009765625,1117,7493.8173828125
2015-05-22,7700.0498046875,7900.0,7585.0,7678.7998046875,1443,7522.17626953125
2015-05-25,7725.0,7799.0,7521.5,7632.2998046875,732,7476.62451171875
2015-05-26,7501.25,7501.25,7130.5,7157.85009765625,10381,7011.8525390625
2015-05-27,7051.0,7499.0,7051.0,7366.85009765625,1566,7216.58984375
2015-05-28,7291.9501953125,7431.5498046875,7130.0,7360.75,1170,7210.61328125
2015-05-29,7360.0,7600.0,7262.14990234375,7481.64990234375,1930,7329.046875
2015-06-01,7320.0498046875,7430.75,7272.0,7322.4501953125,1012,7173.0947265625
2015-06-02,7379.2998046875,7390.0,7149.9501953125,7195.4501953125,1095,7048.685546875
2015-06-03,7275.0,7275.35009765625,7000.0,7046.7998046875,1905,6903.0673828125
2015-06-04,6931.75,7147.5,6922.0,7102.9501953125,700,6958.07177734375
2015-06-05,6961.35009765625,7200.0498046875,6961.35009765625,7153.0,1861,7007.10107421875
2015-06-08,7081.0,7269.0,7050.89990234375,7154.64990234375,541,7008.716796875
2015-06-09,7111.0,7200.0,7080.0,7154.60009765625,1140,7008.66796875
2015-06-10,7181.9501953125,7372.9501953125,7151.0,7318.0498046875,678,7168.7841796875
2015-06-11,7371.9501953125,7469.0,7200.0,7343.10009765625,552,7193.32373046875
2015-06-12,7241.25,7369.5,7241.25,7327.64990234375,565,7178.189453125
2015-06-15,7380.0,7414.35009765625,7230.10009765625,7344.0498046875,789,7194.25390625
2015-06-16,7327.0,7409.0,7260.0,7364.25,359,7214.0419921875
2015-06-17,7333.0498046875,7584.0,7262.10009765625,7445.89990234375,3077,7294.02734375
2015-06-18,7499.9501953125,7500.0,7340.0,7401.60009765625,900,7250.63037109375
2015-06-19,7494.9501953125,7498.89990234375,7360.0,7416.75,594,7265.470703125
2015-06-22,7369.9501953125,7690.89990234375,7350.0,7668.5498046875,1033,7512.13525390625
2015-06-23,7778.85009765625,7965.0,7609.9501953125,7863.14990234375,1529,7702.76708984375
2015-06-24,7915.0,8050.0,7700.0,7769.35009765625,4082,7610.8798828125
2015-06-25,7875.0,7875.0,7639.9501953125,7794.9501953125,1027,7635.95751953125
2015-06-26,7798.9501953125,7800.0,7730.0,7793.14990234375,2641,7634.1943359375
2015-06-29,7541.0,7758.4501953125,7151.0,7234.25,6527,7086.69384765625
2015-06-30,7163.0,7449.89990234375,7163.0,7430.2998046875,1402,7278.744140625
2015-07-01,7449.9501953125,7597.0,7430.0,7506.14990234375,976,7353.0478515625
2015-07-02,7550.5,7640.0,7550.0,7588.14990234375,623,7433.37548828125
2015-07-03,7538.85009765625,7615.0,7500.0,7595.35009765625,836,7440.42822265625
2015-07-06,7406.5,7635.0,7370.0,7602.14990234375,693,7447.09033203125
2015-07-07,7526.0,7600.0,7467.0498046875,7598.85009765625,807,7456.1162109375
2015-07-08,7550.0,7602.14990234375,7504.7998046875,7591.64990234375,586,7449.05224609375
2015-07-09,7610.0,7630.0,7500.10009765625,7605.89990234375,691,7463.03369140625
2015-07-10,7610.0,7610.0,7560.0,7602.7001953125,531,7459.8955078125
2015-07-13,7614.0,7650.0498046875,7560.0,7623.4501953125,869,7480.2548828125
2015-07-14,7650.0,7670.0,7520.0,7621.75,1005,7478.5869140625
2015-07-15,7630.0498046875,7844.9501953125,7607.25,7751.0,837,7605.40869140625
2015-07-16,7801.0498046875,8004.0,7801.0,7897.7001953125,1608,7749.35400390625
2015-07-17,7928.9501953125,8027.0,7868.60009765625,7938.39990234375,2269,7789.28955078125
2015-07-20,7951.0498046875,8097.0,7941.0,8064.64990234375,883,7913.16796875
2015-07-21,8080.0,8949.0,8010.5498046875,8295.7998046875,15126,8139.97607421875
2015-07-22,8315.0,8447.900390625,8294.9501953125,8374.0498046875,1884,8216.755859375
2015-07-23,8376.349609375,8533.150390625,8376.349609375,8484.0,1502,8324.6396484375
2015-07-24,8496.900390625,8518.0,8421.0,8478.7001953125,640,8319.4404296875
2015-07-27,8435.0,8492.0,8350.0,8445.599609375,746,8286.9619140625
2015-07-28,8454.2001953125,8518.0498046875,8252.5,8298.75,1468,8142.8701171875
2015-07-29,8440.599609375,8487.900390625,8245.0498046875,8383.9501953125,861,8226.470703125
2015-07-30,8390.25,8700.0,8383.0,8580.900390625,1399,8419.7197265625
2015-07-31,8700.0,8739.0,8600.0,8701.0498046875,1315,8537.61328125
