Date,Open,High,Low,Close,Volume,Adj Close
,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS,RAMCOCEM.NS
2015-01-01,345.0,348.0,341.25,345.5,41712,331.187744140625
2015-01-02,344.8999938964844,348.75,343.0,344.75,45471,330.46881103515625
2015-01-05,344.0,348.0,326.3999938964844,332.75,114239,318.96588134765625
2015-01-06,332.45001220703125,345.3999938964844,318.0,321.79998779296875,289469,308.4695129394531
2015-01-07,329.70001220703125,329.70001220703125,309.8999938964844,318.1000061035156,168980,304.9227294921875
2015-01-08,328.0,328.0,313.29998779296875,324.20001220703125,99700,310.77008056640625
2015-01-09,330.8500061035156,334.5,312.1000061035156,320.6000061035156,169613,307.3191833496094
2015-01-12,325.0,325.0,314.79998779296875,320.3999938964844,151928,307.1274719238281
2015-01-13,317.1499938964844,333.5,317.1499938964844,325.6499938964844,215520,312.1599426269531
2015-01-14,329.3999938964844,345.0,320.1499938964844,325.95001220703125,366691,312.4476013183594
2015-01-15,328.1499938964844,342.79998779296875,328.1499938964844,340.3500061035156,126704,326.2510986328125
2015-01-16,338.6000061035156,346.0,338.6000061035156,341.8500061035156,131453,327.6889953613281
2015-01-19,344.8999938964844,347.70001220703125,339.0,339.75,121198,325.6759338378906
2015-01-20,339.75,354.0,339.75,351.04998779296875,99444,336.5077819824219
2015-01-21,355.0,365.0,355.0,359.04998779296875,242945,344.1764221191406
2015-01-22,359.70001220703125,362.45001220703125,340.0,347.45001220703125,257262,333.0570373535156
2015-01-23,353.8999938964844,354.8999938964844,333.29998779296875,339.8500061035156,196902,325.77178955078125
2015-01-27,346.0,350.79998779296875,340.79998779296875,344.3999938964844,84242,330.1332702636719
2015-01-28,346.0,357.0,341.0,350.5,316070,335.9806213378906
2015-01-29,350.0,368.0,346.5,362.75,161960,347.72314453125
2015-01-30,364.0,371.5,356.25,363.6000061035156,71937,348.5379333496094
2015-02-02,363.0,369.8999938964844,358.0,366.1000061035156,150915,350.93438720703125
2015-02-03,364.95001220703125,368.45001220703125,353.8999938964844,355.75,47119,341.01312255859375
2015-02-04,358.79998779296875,359.0,350.29998779296875,352.3500061035156,46920,337.7539978027344
2015-02-05,359.70001220703125,362.79998779296875,329.29998779296875,338.29998779296875,404330,324.28594970703125
2015-02-06,339.0,342.29998779296875,323.0,339.1000061035156,211412,325.0528259277344
2015-02-09,339.0,341.25,322.25,329.1499938964844,176460,315.5150451660156
2015-02-10,337.0,339.8999938964844,329.1000061035156,336.5,76569,322.5605773925781
2015-02-11,339.95001220703125,341.04998779296875,324.1499938964844,329.95001220703125,184686,316.2819519042969
2015-02-12,334.8500061035156,335.20001220703125,321.5,323.70001220703125,72381,310.2908020019531
2015-02-13,329.0,339.0,319.1000061035156,326.3500061035156,237925,312.8310241699219
2015-02-16,327.0,333.20001220703125,323.5,326.8500061035156,91084,313.310302734375
2015-02-18,327.3999938964844,334.5,327.04998779296875,331.1499938964844,63942,317.4321594238281
2015-02-19,331.79998779296875,338.8999938964844,331.25,337.5,77107,323.5191345214844
2015-02-20,337.54998779296875,347.0,335.45001220703125,342.8500061035156,190033,328.64752197265625
2015-02-23,339.0,355.0,337.0,346.04998779296875,91077,331.7149658203125
2015-02-24,351.95001220703125,351.95001220703125,334.04998779296875,339.3999938964844,48482,325.3404541015625
2015-02-25,340.79998779296875,341.25,331.54998779296875,333.8999938964844,133769,320.0682678222656
2015-02-26,334.75,335.8500061035156,325.5,327.70001220703125,43678,314.1250915527344
2015-02-27,327.0,332.0,326.1499938964844,329.95001220703125,123447,316.2819519042969
2015-03-02,337.3999938964844,356.79998779296875,330.5,349.1000061035156,922487,334.63861083984375
2015-03-03,344.3500061035156,352.0,338.5,339.8999938964844,176907,325.8197021484375
2015-03-04,343.5,350.8999938964844,335.0,337.25,105698,323.27947998046875
2015-03-05,339.8500061035156,347.95001220703125,337.79998779296875,338.8999938964844,59207,324.86114501953125
2015-03-09,332.0,340.0,329.5,333.75,65428,319.9244689941406
