Date,Open,High,Low,Close,Volume,Adj Close
,TEJASNET.NS,TEJASNET.NS,TEJASNET.NS,TEJASNET.NS,TEJASNET.NS,TEJASNET.NS
2017-06-27,257.0,271.3999938964844,257.0,263.5,13384596,260.66326904296875
2017-06-28,265.0,273.8999938964844,263.75,269.3500061035156,1421224,266.4502868652344
2017-06-29,269.95001220703125,279.5,267.0,275.45001220703125,817704,272.484619140625
2017-06-30,279.0,312.0,276.0,302.5,2717341,299.243408203125
2017-07-03,303.5,310.75,295.25,302.75,715808,299.4906921386719
2017-07-04,300.25,309.75,297.70001220703125,304.75,574673,301.4692077636719
2017-07-05,300.1499938964844,304.79998779296875,299.0,301.5,245988,298.2541809082031
2017-07-06,299.1000061035156,324.79998779296875,299.1000061035156,318.5,1424441,315.0711669921875
2017-07-07,317.8999938964844,365.75,312.1000061035156,346.8500061035156,3189181,343.115966796875
2017-07-10,355.0,373.5,350.54998779296875,367.29998779296875,754636,363.34576416015625
2017-07-11,369.1499938964844,377.0,330.5,343.29998779296875,2079413,339.6041564941406
2017-07-12,345.04998779296875,346.04998779296875,319.0,339.70001220703125,1287537,336.0429382324219
2017-07-13,341.79998779296875,348.3999938964844,324.04998779296875,331.29998779296875,685743,327.7333679199219
2017-07-14,331.8999938964844,336.0,291.5,312.1499938964844,1166541,308.7895202636719
2017-07-17,311.8999938964844,338.0,299.0,326.8500061035156,1034632,323.3312683105469
2017-07-18,326.8999938964844,341.3999938964844,321.25,327.70001220703125,732388,324.172119140625
2017-07-19,328.8999938964844,352.79998779296875,325.1000061035156,349.20001220703125,1057372,345.440673828125
2017-07-20,350.5,366.8999938964844,338.1499938964844,350.75,1025376,346.9739685058594
2017-07-21,351.1000061035156,354.20001220703125,338.6000061035156,348.29998779296875,491580,344.5503234863281
2017-07-24,345.0,348.1000061035156,334.8999938964844,339.20001220703125,241909,335.5483093261719
2017-07-25,340.1000061035156,344.8999938964844,332.0,335.70001220703125,205099,332.08599853515625
2017-07-26,338.0,338.8999938964844,322.0,329.04998779296875,416023,325.507568359375
2017-07-27,331.79998779296875,333.0,320.0,327.1499938964844,165253,323.6280517578125
2017-07-28,327.0,343.0,323.0,334.1499938964844,257005,330.55267333984375
2017-07-31,337.0,345.79998779296875,330.0,336.75,148384,333.12469482421875
2017-08-01,337.1499938964844,342.8999938964844,328.75,331.1499938964844,87577,327.5849609375
2017-08-02,333.70001220703125,333.70001220703125,327.5,330.8999938964844,60574,327.337646484375
2017-08-03,331.0,355.0,331.0,340.25,1037797,336.5870056152344
2017-08-04,341.45001220703125,359.5,341.45001220703125,349.6499938964844,636449,345.88580322265625
2017-08-07,348.0,351.0,332.6499938964844,337.54998779296875,162797,333.9160461425781
2017-08-08,337.8500061035156,344.70001220703125,324.20001220703125,332.45001220703125,150621,328.8710021972656
2017-08-09,330.0,331.04998779296875,319.3999938964844,325.04998779296875,111095,321.5506286621094
2017-08-10,329.8999938964844,329.8999938964844,299.0,318.1499938964844,172024,314.72491455078125
2017-08-11,312.0,338.79998779296875,305.0,330.79998779296875,219783,327.23870849609375
2017-08-14,332.0,334.3999938964844,322.25,325.6000061035156,113518,322.0947570800781
2017-08-16,326.1499938964844,332.70001220703125,323.04998779296875,326.79998779296875,106916,323.28179931640625
2017-08-17,328.0,354.79998779296875,327.20001220703125,342.8500061035156,513794,339.1590270996094
2017-08-18,340.0,340.45001220703125,332.1000061035156,334.1499938964844,73556,330.55267333984375
2017-08-21,335.20001220703125,344.5,325.25,327.04998779296875,92036,323.5290832519531
2017-08-22,332.6499938964844,335.0,325.1000061035156,327.3999938964844,60472,323.8753356933594
2017-08-23,329.95001220703125,332.0,324.1000061035156,325.8999938964844,61931,322.3914794921875
2017-08-24,330.70001220703125,335.45001220703125,328.29998779296875,329.75,96728,326.2000427246094
2017-08-28,335.0,336.29998779296875,329.04998779296875,330.6000061035156,59175,327.0408935546875
2017-08-29,328.0,336.3999938964844,323.6000061035156,331.1000061035156,102147,327.5355224609375
2017-08-30,336.70001220703125,343.0,332.45001220703125,340.29998779296875,171176,336.6364440917969
2017-08-31,340.0,359.0,336.0,348.3999938964844,249643,344.6492614746094
2017-09-01,343.0,351.54998779296875,341.0,341.70001220703125,74775,338.02142333984375
